emoji,sentiment_score,count,pos_ratio,neg_ratio,neu_ratio,percent_very_pos,percent_pos,percent_somewhat_pos,percent_neutral,percent_very_neg,percent_neg,percent_somewhat_neg,confidence_interval
😃,0.2839506172839506,27,0.6170212765957447,0.1276595744680851,0.2553191489361702,0.037037037037037035,0.4074074074074074,0.14814814814814814,0.2222222222222222,0.0,0.037037037037037035,0.14814814814814814,0.2879560917864043
😣,-0.14814814814814814,27,0.25925925925925924,0.48148148148148145,0.25925925925925924,0.0,0.25925925925925924,0.0,0.25925925925925924,0.18518518518518517,0.1111111111111111,0.18518518518518517,0.30222706362619406
😷,-0.29333333333333333,25,0.058823529411764705,0.7058823529411765,0.23529411764705882,0.0,0.0,0.08,0.16,0.0,0.2,0.56,0.2583633905954944
🤪,0.4305555555555555,24,0.7659574468085106,0.10638297872340426,0.1276595744680851,0.125,0.4583333333333333,0.20833333333333334,0.125,0.041666666666666664,0.041666666666666664,0.0,0.298366527179345
☹️,-0.027777777777777776,24,0.3181818181818182,0.36363636363636365,0.3181818181818182,0.0,0.25,0.08333333333333333,0.2916666666666667,0.041666666666666664,0.20833333333333334,0.125,0.3221976918865262
😐,-0.18055555555555555,24,0.023255813953488372,0.32558139534883723,0.6511627906976745,0.0,0.0,0.041666666666666664,0.5833333333333334,0.0,0.20833333333333334,0.16666666666666666,0.2538643961695143
🙊,0.17391304347826086,23,0.5263157894736842,0.21052631578947367,0.2631578947368421,0.13043478260869565,0.13043478260869565,0.21739130434782608,0.21739130434782608,0.0,0.043478260869565216,0.2608695652173913,0.3358218804560727
😄,0.3636363636363636,22,0.7222222222222222,0.05555555555555555,0.2222222222222222,0.045454545454545456,0.36363636363636365,0.3181818181818182,0.18181818181818182,0.0,0.0,0.09090909090909091,0.3123824096315806
✊,0.25396825396825395,21,0.6,0.2,0.2,0.14285714285714285,0.23809523809523808,0.23809523809523808,0.19047619047619047,0.09523809523809523,0.0,0.09523809523809523,0.35662616592479895
😓,-0.23809523809523808,21,0.10344827586206896,0.6206896551724138,0.27586206896551724,0.0,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.0,0.14285714285714285,0.5714285714285714,0.2844097201026873
💞,0.6031746031746031,21,0.8863636363636364,0.022727272727272728,0.09090909090909091,0.23809523809523808,0.5238095238095238,0.09523809523809523,0.09523809523809523,0.0,0.0,0.047619047619047616,0.29598798774424767
🌿,0.1746031746031746,21,0.358974358974359,0.07692307692307693,0.5641025641025641,0.09523809523809523,0.047619047619047616,0.2857142857142857,0.5238095238095238,0.047619047619047616,0.0,0.0,0.28702303430599824
🌅,0.5555555555555556,21,0.7777777777777778,0.0,0.2222222222222222,0.2857142857142857,0.3333333333333333,0.14285714285714285,0.23809523809523808,0.0,0.0,0.0,0.321192223511785
😝,0.3333333333333333,21,0.5609756097560976,0.04878048780487805,0.3902439024390244,0.09523809523809523,0.38095238095238093,0.047619047619047616,0.38095238095238093,0.0,0.0,0.09523809523809523,0.30713008463660624
🍀,0.38095238095238093,21,0.675,0.075,0.25,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.23809523809523808,0.047619047619047616,0.0,0.0,0.3331732949148903
👋,0.3833333333333333,20,0.6486486486486487,0.02702702702702703,0.32432432432432434,0.05,0.45,0.15,0.3,0.0,0.0,0.05,0.3120973869601737
😕,-0.06666666666666668,20,0.3333333333333333,0.4666666666666667,0.2,0.05,0.15,0.05,0.15,0.0,0.1,0.5,0.3220608638130376
🍻,0.40350877192982454,19,0.6857142857142857,0.02857142857142857,0.2857142857142857,0.05263157894736842,0.47368421052631576,0.15789473684210525,0.2631578947368421,0.0,0.0,0.05263157894736842,0.320245487473799
😶,0.18518518518518517,18,0.4,0.06666666666666667,0.5333333333333333,0.0,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.0,0.0,0.1111111111111111,0.3340558618090769
🌄,0.5925925925925926,18,0.9411764705882353,0.0,0.058823529411764705,0.16666666666666666,0.5,0.2777777777777778,0.05555555555555555,0.0,0.0,0.0,0.3135946622639419
🤘,0.35185185185185186,18,0.7241379310344828,0.06896551724137931,0.20689655172413793,0.0,0.3888888888888889,0.3888888888888889,0.16666666666666666,0.0,0.05555555555555555,0.0,0.320922629020575
😈,-0.07407407407407406,18,0.32142857142857145,0.4642857142857143,0.21428571428571427,0.1111111111111111,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.3888888888888889,0.36210792534903324
🤩,0.4259259259259259,18,0.8709677419354839,0.12903225806451613,0.0,0.1111111111111111,0.4444444444444444,0.2777777777777778,0.0,0.0,0.05555555555555555,0.1111111111111111,0.3385493137787793
🏀,0.3888888888888889,18,0.717948717948718,0.1794871794871795,0.10256410256410256,0.16666666666666666,0.5,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.0,0.05555555555555555,0.34128511029181907
🥵,0.16666666666666666,18,0.5151515151515151,0.24242424242424243,0.24242424242424243,0.05555555555555555,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.0,0.16666666666666666,0.1111111111111111,0.3753485913072926
😱,-0.1111111111111111,18,0.19230769230769232,0.4230769230769231,0.38461538461538464,0.0,0.0,0.2777777777777778,0.2777777777777778,0.0,0.16666666666666666,0.2777777777777778,0.35267556373509956
🌴,0.5185185185185185,18,0.7777777777777778,0.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.3530050131892214
🏖️,0.48148148148148145,18,0.7222222222222222,0.0,0.2777777777777778,0.2777777777777778,0.16666666666666666,0.2777777777777778,0.2777777777777778,0.0,0.0,0.0,0.35267556373509956
🌷,0.5294117647058824,17,0.7714285714285715,0.0,0.22857142857142856,0.29411764705882354,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.0,0.0,0.0,0.3664637843931212
🥴,-0.15555555555555553,15,0.23809523809523808,0.5714285714285714,0.19047619047619047,0.0,0.0,0.3333333333333333,0.13333333333333333,0.0,0.26666666666666666,0.26666666666666666,0.38318988620381006
💝,0.5111111111111111,15,0.7931034482758621,0.0,0.20689655172413793,0.13333333333333333,0.4666666666666667,0.2,0.2,0.0,0.0,0.0,0.36626644824650684
😵,-0.26666666666666666,15,0.041666666666666664,0.5416666666666666,0.4166666666666667,0.0,0.0,0.06666666666666667,0.3333333333333333,0.0,0.26666666666666666,0.3333333333333333,0.36958114430016886
🧡,0.4666666666666667,15,0.7586206896551724,0.034482758620689655,0.20689655172413793,0.0,0.7333333333333333,0.0,0.2,0.0,0.0,0.06666666666666667,0.2556720121127414
‼️,-0.04444444444444446,15,0.32142857142857145,0.39285714285714285,0.2857142857142857,0.0,0.2,0.2,0.26666666666666666,0.2,0.0,0.13333333333333333,0.414971377861708
😰,-0.4888888888888889,15,0.0,0.7333333333333333,0.26666666666666666,0.0,0.0,0.0,0.26666666666666666,0.13333333333333333,0.4666666666666667,0.13333333333333333,0.3615748270490571
👅,0.17777777777777776,15,0.5,0.21428571428571427,0.2857142857142857,0.0,0.4,0.13333333333333333,0.26666666666666666,0.0,0.2,0.0,0.37612291135271786
👇,0.4222222222222222,15,0.5757575757575758,0.0,0.42424242424242425,0.26666666666666666,0.2,0.06666666666666667,0.4666666666666667,0.0,0.0,0.0,0.35613730186232634
🥲,-0.31111111111111106,15,0.045454545454545456,0.6818181818181818,0.2727272727272727,0.0,0.0,0.06666666666666667,0.2,0.0,0.26666666666666666,0.4666666666666667,0.35613730186232634
💁‍,-0.08888888888888889,15,0.2692307692307692,0.4230769230769231,0.3076923076923077,0.0,0.13333333333333333,0.2,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.2,0.4248461159316656
